,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
davisan02,davisan02,Anthony Marshon Davis,@AntDavis23,Center-Power Forward,6'10,82,6,10,220,Right,University of Kentucky,Perspectives Charter School,New Orleans Hornets,1st round 1st pick 1st overall,1,1,1,10/31/12,1 year,1,3/11/93,1993,20,20y 0m 271d 0H 0M 0S,"Chicago, Illinois",Chicago,Illinois,USA,"Chicago, Illinois",Chicago,Illinois,23;23,"Signed July 18, 2012.  Team Option for 2014-15 picked up on October 16, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/d/davisan02.html,12/7/13 15:54
davised01,davised01,Edward Adam Davis,@eddavis32,Power Forward-Center,6'10,82,6,10,225,Left,University of North Carolina,Benedictine,Toronto Raptors,1st round 13th pick 13th overall,13,1,13,12/1/10,3 years,3,6/5/89,1989,24,24y 0m 185d 0H 0M 0S,Washington D.C.,Washington,District of Columbia,USA,"Richmond, Virginia",Richmond,Virginia,32;32,"Signed July 6, 2010.  Team Option for 2012-13 picked up on June 24, 2011.  Team Option for 2013-14 picked up on October 17, 2012.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2011-2013-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2013-2014",http://www.basketball-reference.com/players/d/davised01.html,12/7/13 15:54
davisgl01,davisgl01,Ronald Glen Davis,@iambigbaby11,Power Forward-Center,6'9,81,6,9,289,Right,Louisiana State University,Louisiana State University Laboratory School,Seattle SuperSonics,2nd round 5th pick 35th overall,35,2,5,11/2/07,6 years,6,1/1/86,1986,27,27y 0m 340d 6H 0M 0S,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,USA,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,11;11,"Signed December 12, 2011 for an assumed $25,700,000 for 4 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2008-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2012-2014",http://www.basketball-reference.com/players/d/davisgl01.html,12/7/13 15:54
dayeau01,dayeau01,Austin Darren Daye,@Adaye5,Small Forward,6'11,83,6,11,200,Right,Gonzaga University,Woodbridge,Detroit Pistons,1st round 15th pick 15th overall,15,1,15,10/30/09,4 years,4,6/5/88,1988,25,25y 0m 184d 18H 0M 0S,"Irvine, California",Irvine,California,USA,"Irvine, California",Irvine,California,5;5;5,"Signed August 1, 2013 for an assumed minimum salary for 2 years.  2014-15 is partially guaranteed for $250,000 if waived before July 30, 2014, fully guaranteed after that.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2010-2013-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2014",http://www.basketball-reference.com/players/d/dayeau01.html,12/7/13 15:54
decolna01,decolna01,Nando De Colo,,Shooting Guard-Small Forward,6'5,77,6,5,200,Right,,,San Antonio Spurs,2nd round 23rd pick 53rd overall,53,2,23,11/3/12,1 year,1,6/23/87,1987,26,26y 0m 167d 12H 0M 0S,"Sainte-Catherine-les-Arras, France",Sainte-Catherine-les-Arras,,France,,,,25,"Signed July 12, 2012 for an assumed $2,863,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2013-2014",http://www.basketball-reference.com/players/d/decolna01.html,12/7/13 15:54
dedmode01,dedmode01,Dewayne Dedmon,,Center,7'0,84,7,0,255,Right,,,,,,,,11/18/13,Rookie,0,8/12/89,1989,24,24y 0m 117d 0H 0M 0S,"Lancaster, California",Lancaster,California,USA,,,,21,,"poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2014",http://www.basketball-reference.com/players/d/dedmode01.html,12/7/13 15:54
dellama01,dellama01,Matthew Dellavedova,,Shooting Guard,6'4,76,6,4,200,Right,,,,,,,,11/2/13,Rookie,0,9/8/90,1990,23,23y 0m 90d 6H 0M 0S,"Maryborough, Australia",Maryborough,,Australia,,,,9,,"poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2014",http://www.basketball-reference.com/players/d/dellama01.html,12/7/13 15:54
denglu01,denglu01,Luol Deng,@LuolDeng9,Small Forward,6'8,80,6,8,220,Right,Duke University,Blair Academy,Phoenix Suns,1st round 7th pick 7th overall,7,1,7,11/5/04,9 years,9,4/16/85,1985,28,28y 0m 235d 0H 0M 0S,"Wow, Sudan",Wow,,Sudan,"Blairstown, New Jersey",Blairstown,New Jersey,9,"Signed July 31, 2008 for an assumed $71,000,000 plus incentives for 6 years.  2013-14 has up to $1,500,000 in unlikely incentives not included here.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2005-2014",http://www.basketball-reference.com/players/d/denglu01.html,12/7/13 15:54
derozde01,derozde01,DeMar Darnell DeRozan,@DeMar_DeRozan,Shooting Guard,6'7,79,6,7,220,Right,University of Southern California,Compton,Toronto Raptors,1st round 9th pick 9th overall,9,1,9,10/28/09,4 years,4,8/7/89,1989,24,24y 0m 122d 0H 0M 0S,"Compton, California",Compton,California,USA,"Compton, California",Compton,California,10,"Signed extension on October 31, 2012 for an assumed $38,000,000 plus incentives for 4 years starting in 2013-14.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2010-2014",http://www.basketball-reference.com/players/d/derozde01.html,12/7/13 15:54
diawbo01,diawbo01,Boris Babacar Diaw,@theborisdiaw,Power Forward-Shooting Guard,6'8,80,6,8,215,Right,,,Atlanta Hawks,1st round 21st pick 21st overall,21,1,21,10/29/03,10 years,10,4/16/82,1982,31,31y 0m 235d 6H 0M 0S,"Cormeille-en-Parisis, France",Cormeille-en-Parisis,,France,,,,32;13;3;32;33,"Signed July 12, 2012 for an assumed $9,202,500 for 2 years.  Player Option for 2013-14 was picked up on June 28, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2004-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2005-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2006-2009-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2009-2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2012-2014",http://www.basketball-reference.com/players/d/diawbo01.html,12/7/13 15:54
dienggo01,dienggo01,Gorgui Sy Dieng,,Center,6'11,83,6,11,245,Right,University of Louisville,Huntington St Joseph Prep,Utah Jazz,1st round 21st pick 21st overall,21,1,21,NA,Rookie,0,1/18/90,1990,23,23y 0m 323d 6H 0M 0S,"Kebemer, Senegal",Kebemer,,Senegal,"Huntington, West Virginia",Huntington,West Virginia,5,"Signed July 13, 2013.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2014",http://www.basketball-reference.com/players/d/dienggo01.html,12/7/13 15:54
douglto01,douglto01,Toney Bernard Douglas,,Point Guard-Shooting Guard,6'2,74,6,2,190,Right,Florida State University,Jonesboro,Los Angeles Lakers,1st round 29th pick 29th overall,29,1,29,10/28/09,4 years,4,3/16/86,1986,27,27y 0m 266d 6H 0M 0S,"Jonesboro, Georgia",Jonesboro,Georgia,USA,"Jonesboro, Georgia",Jonesboro,Georgia,23;15;0;0,"Signed July 18, 2013 for an assumed $1,600,000 for 1 year.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2010-2012-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2014",http://www.basketball-reference.com/players/d/douglto01.html,12/7/13 15:54
dragigo01,dragigo01,Goran Dragic,@Goran_Dragic,Point Guard-Shooting Guard,6'4,76,6,4,180,Left,,,San Antonio Spurs,2nd round 15th pick 45th overall,45,2,15,10/29/08,5 years,5,5/6/86,1986,27,27y 0m 215d 6H 0M 0S,"Ljubljana, Slovenia",Ljubljana,,Slovenia,,,,2;3;1;1,"Signed July 19, 2012 for an assumed $30,000,000 for 4 years.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2009-2011-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2011-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/d/dragigo01.html,12/7/13 15:54
drumman01,drumman01,Andre Jamal Drummond,@DRE_DRUMMOND_,Center,6'10,82,6,10,270,Right,University of Connecticut,St Thomas More School,Detroit Pistons,1st round 9th pick 9th overall,9,1,9,10/31/12,1 year,1,8/10/93,1993,20,20y 0m 119d 0H 0M 0S,"Mount Vernon, New York",Mount Vernon,New York,USA,"Oakdale, Connecticut",Oakdale,Connecticut,1;0,"Signed July 3, 2012.  Team Option for 2014-15 picked up on October 19, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2014",http://www.basketball-reference.com/players/d/drumman01.html,12/7/13 15:54
dudleja01,dudleja01,Jared Anthony Dudley,@JaredDudley619,Small Forward-Power Forward-Shooting Guard,6'7,79,6,7,225,Right,Boston College,Horizon,Charlotte Bobcats,1st round 22nd pick 22nd overall,22,1,22,11/2/07,6 years,6,7/10/85,1985,28,28y 0m 150d 0H 0M 0S,"San Diego, California",San Diego,California,USA,"San Diego, California",San Diego,California,4;3;9,"Signed extension on November 1, 2010 for an assumed $21,250,000 plus incentives for 5 years that begins in 2011-12.  2013-14 and 2014-15 each have up to $250,000 in unlikely incentives not included here.  2015-16 is an ETO.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2008-2009-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2009-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2014",http://www.basketball-reference.com/players/d/dudleja01.html,12/7/13 15:54
duncati01,duncati01,Timothy Theodore Duncan,,Power Forward-Center,6'11,83,6,11,248,Right,Wake Forest University,Saint Dunstans Episcopal,San Antonio Spurs,1st round 1st pick 1st overall,1,1,1,10/31/97,16 years,16,4/25/76,1976,37,37y 0m 225d 18H 0M 0S,"St Croix, U.S. Virgin Islands",St Croix,,U.S. Virgin Islands,Saint Croix US Virgin Islands,Saint Croix US Virgin Islands,,21,"Signed July 11, 2012 for an assumed $30,000,000 for 3 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 1998-2014",http://www.basketball-reference.com/players/d/duncati01.html,12/7/13 15:54
dunlemi02,dunlemi02,Michael Joseph Dunleavy Jr.,,Small Forward-Shooting Guard-Power Forward,6'9,81,6,9,220,Right,Duke University,Jesuit,Golden State Warriors,1st round 3rd pick 3rd overall,3,1,3,10/30/02,11 years,11,9/15/80,1980,33,33y 0m 82d 18H 0M 0S,"Fort Worth, Texas",Fort Worth,Texas,USA,"Portland, Oregon",Portland,Oregon,10;34;17;17;34,"Signed July 10, 2013 for an assumed $6,509,235 for 2 years.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2003-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2004-2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2007-2011-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2012-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2014",http://www.basketball-reference.com/players/d/dunlemi02.html,12/7/13 15:54
duranke01,duranke01,Kevin Wayne Durant,@KDTrey5,Small Forward-Shooting Guard,6'9,81,6,9,215,Right,University of Texas at Austin,Montrose Christian School,Seattle SuperSonics,1st round 2nd pick 2nd overall,2,1,2,10/31/07,6 years,6,9/29/88,1988,25,25y 0m 68d 18H 0M 0S,Washington D.C.,Washington,District of Columbia,USA,"Rockville, Maryland",Rockville,Maryland,35;35,"Extension signed on July 8, 2010 for an assumed $89,163,134 for 5 years starting in 2011-12.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2008-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2009-2014",http://www.basketball-reference.com/players/d/duranke01.html,12/7/13 15:54
ellinwa01,ellinwa01,Wayne Robert Ellington Jr.,@WayneElli22,Shooting Guard,6'4,76,6,4,200,Right,University of North Carolina,The Episcopal Academy,Minnesota Timberwolves,1st round 28th pick 28th overall,28,1,28,10/28/09,4 years,4,10/29/87,1987,26,26y 0m 39d 12H 0M 0S,"Wynnewood, Pennsylvania",Wynnewood,Pennsylvania,USA,"Newtown Square, Pennsylvania",Newtown Square,Pennsylvania,19;22;3;21;21,"Signed July 26, 2013 for an assumed $5,423,340 for 2 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2010-2011-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2012-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2013-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2014",http://www.basketball-reference.com/players/e/ellinwa01.html,12/7/13 15:54
ellismo01,ellismo01,Monta Ellis,,Shooting Guard-Point Guard,6'3,75,6,3,175,Right,,Lanier,Golden State Warriors,2nd round 10th pick 40th overall,40,2,10,11/12/05,8 years,8,10/26/85,1985,28,28y 0m 42d 0H 0M 0S,"Jackson, Mississippi",Jackson,Mississippi,USA,"Jackson, Mississippi",Jackson,Mississippi,8;8;11;11,"Signed July 22, 2013 for an assumed $25,080,000 for 3 years.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2006-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-2012-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2012-2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2014",http://www.basketball-reference.com/players/e/ellismo01.html,12/7/13 15:54
evansje01,evansje01,Jeremy Evans,@JeremyEvans40,Small Forward-Power Forward,6'9,81,6,9,196,Right,Western Kentucky University,Crossett,Utah Jazz,2nd round 25th pick 55th overall,55,2,25,10/27/10,3 years,3,10/24/87,1987,26,26y 0m 44d 12H 0M 0S,"Crossett, Arkansas",Crossett,Arkansas,USA,"Crossett, Arkansas",Crossett,Arkansas,40,"Signed July 11, 2012 for an assumed $5,250,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2011-2014",http://www.basketball-reference.com/players/e/evansje01.html,12/7/13 15:54
evansre01,evansre01,Reginald Jamaal Evans,@ReggieEvans30,Power Forward,6'8,80,6,8,245,Right,University of Iowa,Woodham,,,,,,10/30/02,11 years,11,5/18/80,1980,33,33y 0m 202d 18H 0M 0S,"Pensacola, Florida",Pensacola,Florida,USA,"Pensacola, Florida",Pensacola,Florida,34;30;30;30;30;30;30,"Signed July 11, 2012 for an assumed $5,086,905 for 3 years.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2003-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2004-2006-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2008-2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2010-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-2014",http://www.basketball-reference.com/players/e/evansre01.html,12/7/13 15:54
evansty01,evansty01,Tyreke Jamir Evans,@TyrekeEvans,Shooting Guard-Small Forward,6'6,78,6,6,220,Right,University of Memphis,American Christian School,Sacramento Kings,1st round 4th pick 4th overall,4,1,4,10/28/09,4 years,4,9/19/89,1989,24,24y 0m 79d 0H 0M 0S,"Chester, Pennsylvania",Chester,Pennsylvania,USA,"Aston, Pennsylvania",Aston,Pennsylvania,13;1,"Signed July 10, 2013 for an assumed $43,981,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2010-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/e/evansty01.html,12/7/13 15:54
farieke01,farieke01,Kenneth Bernard Faried,@KennethFaried35,Power Forward,6'8,80,6,8,228,Right,Morehead State University,Technology,Denver Nuggets,1st round 22nd pick 22nd overall,22,1,22,12/28/11,2 years,2,11/19/89,1989,24,24y 0m 18d 0H 0M 0S,"Newark, New Jersey",Newark,New Jersey,USA,"Newark, New Jersey",Newark,New Jersey,35,"Signed December 9, 2011.  Team Option for 2013-14 picked up on October 22, 2012.  Team Option for 2014-15 picked up on October 29, 2013.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2012-2014",http://www.basketball-reference.com/players/f/farieke01.html,12/7/13 15:54
farmajo01,farmajo01,Jordan Robert Farmar,,Point Guard,6'2,74,6,2,180,Right,"University of California, Los Angeles",Taft,Los Angeles Lakers,1st round 26th pick 26th overall,26,1,26,10/31/06,6 years,6,11/30/86,1986,27,27y 0m 7d 6H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,"Woodland Hills, California",Woodland Hills,California,5;1;2,"Signed July 10, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2007-2009-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2010-2014-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2011-2012",http://www.basketball-reference.com/players/f/farmajo01.html,12/7/13 15:54
favervi01,favervi01,Vitor Faverani,,Center,6'11,83,6,11,260,Right,,,,,,,,10/30/13,Rookie,0,5/5/88,1988,25,25y 0m 215d 18H 0M 0S,"Porto Alegre, Brazil",Porto Alegre,,Brazil,,,,38,,"poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2014",http://www.basketball-reference.com/players/f/favervi01.html,12/7/13 15:54
favorde01,favorde01,Derrick Bernard Favors,@dfavors14,Power Forward,6'10,82,6,10,246,Right,Georgia Institute of Technology,South Atlanta,New Jersey Nets,1st round 3rd pick 3rd overall,3,1,3,10/27/10,3 years,3,7/15/91,1991,22,22y 0m 145d 12H 0M 0S,"Atlanta, Georgia",Atlanta,Georgia,USA,"Atlanta, Georgia",Atlanta,Georgia,14;15,"Signed July 15, 2010.  Team Option for 2012-13 was picked up on June 29, 2011.  Team Option for 2013-14 was picked up on October 26, 2012.  2014-15, 2015-16, 2016-17 and 2017-18 each have up to $1,100,000 in unlikely incentives not included in Cap Hit.  2014-15, 2015-16, 2016-17 and 2017-18 each include $183,333 in likely incentives.  Extension signed on October 19, 2013 for an assumed $46,950,000 plus incentives for 4 years starting in 2014-15.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2011-2014",http://www.basketball-reference.com/players/f/favorde01.html,12/7/13 15:54
felixca01,felixca01,Carrick Felix,,Shooting Guard,6'6,78,6,6,201,Right,,,,,,,,11/22/13,Rookie,0,8/17/90,1990,23,23y 0m 112d 6H 0M 0S,"Goodyear, Arizona",Goodyear,Arizona,USA,,,,30,,"poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2014",http://www.basketball-reference.com/players/f/felixca01.html,12/7/13 15:54
feltora01,feltora01,Raymond Bernard Felton Jr.,@RFeltonGBMS,Point Guard-Shooting Guard,6'1,73,6,1,198,Right,University of North Carolina,Latta,Charlotte Bobcats,1st round 5th pick 5th overall,5,1,5,11/2/05,8 years,8,6/26/84,1984,29,29y 0m 163d 18H 0M 0S,"Marion, South Carolina",Marion,South Carolina,USA,"Latta, South Carolina",Latta,South Carolina,20;20;2;20;5,"Signed July 15, 2012 for an assumed $14,861,532 for 4 years.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#ff3030;border-color:#191970;-Charlotte Bobcats, 2006-2007-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2008-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-2014-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2011-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2012",http://www.basketball-reference.com/players/f/feltora01.html,12/7/13 15:54
fieldla01,fieldla01,Landry Fields,@landryfields,Small Forward-Shooting Guard,6'7,79,6,7,210,Right,Stanford University,Los Alamitos,New York Knicks,2nd round 9th pick 39th overall,39,2,9,10/27/10,3 years,3,6/27/88,1988,25,25y 0m 162d 18H 0M 0S,"Long Beach, California",Long Beach,California,USA,"Los Alamitos, California",Los Alamitos,California,6;2;2,"Signed offer sheet on July 11, 2012 for an assumed $18,750,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-2014",http://www.basketball-reference.com/players/f/fieldla01.html,12/7/13 15:54
fishede01,fishede01,Derek Lamar Fisher,,Point Guard-Shooting Guard,6'1,73,6,1,200,Left,University of Arkansas at Little Rock,Parkview,Los Angeles Lakers,1st round 24th pick 24th overall,24,1,24,11/1/96,17 years,17,8/9/74,1974,39,39y 0m 120d 6H 0M 0S,"Little Rock, Arkansas",Little Rock,Arkansas,USA,"Little Rock, Arkansas",Little Rock,Arkansas,2;4;2;37;6;6,"Signed July 24, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 1997-2012-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2005-2006-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2007-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2013-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2013-2014",http://www.basketball-reference.com/players/f/fishede01.html,12/7/13 15:54
fournev01,fournev01,Evan Mehdi Fournier,,Shooting Guard,6'6,78,6,6,190,Right,,,Denver Nuggets,1st round 20th pick 20th overall,20,1,20,10/31/12,1 year,1,10/29/92,1992,21,21y 0m 38d 18H 0M 0S,"SaintMaurice, France",SaintMaurice,,France,,,,94,"Signed July 11, 2012.  Team Option for 2014-15 picked up on October 29, 2013.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2013-2014",http://www.basketball-reference.com/players/f/fournev01.html,12/7/13 15:54
foyera01,foyera01,Randy Foye,@randyfoye,Shooting Guard-Point Guard,6'4,76,6,4,210,Right,Villanova University,East Side,Boston Celtics,1st round 7th pick 7th overall,7,1,7,11/1/06,7 years,7,9/24/83,1983,30,30y 0m 74d 12H 0M 0S,"Newark, New Jersey",Newark,New Jersey,USA,"Newark, New Jersey",Newark,New Jersey,4;15;4;8;4,"Signed July 10, 2013 for an assumed $9,405,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2007-2009-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2013-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2014",http://www.basketball-reference.com/players/f/foyera01.html,12/7/13 15:54
frankja01,frankja01,Jamaal Franklin,,Shooting Guard,6'5,77,6,5,191,Right,,,Memphis Grizzlies,2nd round 11th pick 41st overall,41,2,11,11/6/13,Rookie,0,7/21/91,1991,22,22y 0m 139d 12H 0M 0S,"Moreno Valley, California",Moreno Valley,California,USA,,,,22,,"poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2014",http://www.basketball-reference.com/players/f/frankja01.html,12/7/13 15:54
fredeji01,fredeji01,James Taft Fredette,@jimmerfredette,Shooting Guard-Point Guard,6'2,74,6,2,195,Right,Brigham Young University,Glen Falls,Milwaukee Bucks,1st round 10th pick 10th overall,10,1,10,12/26/11,2 years,2,2/25/89,1989,24,24y 0m 285d 0H 0M 0S,"Glens Falls, New York",Glens Falls,New York,USA,"Glens Falls, New York",Glens Falls,New York,7,"Signed December 9, 2011.  Team Option for 2013-14 picked up on October 17, 2012.  Team Option for 2014-15 was not picked up.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2012-2014",http://www.basketball-reference.com/players/f/fredeji01.html,12/7/13 15:54
